LIN #,NSN,MPO DESCRIPTION,NSN DESCRIPTION,COMMON NAME,SERIAL,Property Book,Location,MOS,Assigned To,STATUS,SI,NOTES,
DA656K,846501C931243,HOLSTER,"HOLSTER: INSIDE THE PANT, LH, GLOCK 19",,,YES,C Room,C,,IN,NO,,
DA656K,846501C931243,HOLSTER,"HOLSTER: INSIDE THE PANT, LH, GLOCK 19",,,YES,C Room,C,,IN,NO,,
DA656K,846501C931243,HOLSTER,"HOLSTER: INSIDE THE PANT, LH, GLOCK 19",,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
DA657R,846501F900077,RUCKSACK FIELD PACK,ROLLING DUFFLE BAG EXPEDITIONARY KIT RG,,,YES,C Room,C,,IN,NO,,
DA657R,846501F900077,RUCKSACK FIELD PACK,ROLLING DUFFLE BAG EXPEDITIONARY KIT RG,,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
DA6580,846501C935273,VEST,"CHEST RIG SYSTEM: SCOUT, COYOTE",,,YES,,C,Theo,OUT,NO,,
DA6580,846501C935273,VEST,"CHEST RIG SYSTEM: SCOUT, COYOTE",,,YES,,C,Paul,OUT,NO,,
DA6580,846501C935273,VEST,"CHEST RIG SYSTEM: SCOUT, COYOTE",,,YES,C Room,C,,IN,NO,,
DA6580,846501C935273,VEST,"CHEST RIG SYSTEM: SCOUT, COYOTE",,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
E05011,5810015938026,ENCRYPTION-DECRYPTI,ENCRYPTION-DECRYPTI,KG-250,10000071030011731,YES,E Room,E,,OUT,YES,,
E05011,5810015938026,ENCRYPTION-DECRYPTI,ENCRYPTION-DECRYPTI,KG-250,10000071030011779,YES,E Room,E,,OUT,YES,,
,,,,,,,,,,,,,
E56611,6545015434501,MEDICAL EQUIPMENT SET LABORATORY: SPECIA,MES LAB SO TACTICAL,,10295721,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
F05010,5895015593078,FIELD COMPUTING DEVICE: (FCD),"TACLAN, FLD, COMPUT DEV",,FCD1820916,YES,E Room,E,,OUT,NO,,
F05010,5895015593078,FIELD COMPUTING DEVICE: (FCD),"TACLAN, FLD, COMPUT DEV",,FCD1820918,YES,E Room,E,,OUT,NO,,
,,,,,,,,,,,,,
F91490,1375000473750,DEMOLITION SET EXPLOSIVE: INITIATING ELE,DEMO SET EXPLO ELEC,CLACKERS,1014932536,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
FA203B,5820016312576,"TRANSMITTER, RADIO","BEACON, DIESTRESS",,04793,YES,E Room,E,,OUT,NO,,
FA203B,5820016312576,"TRANSMITTER, RADIO","BEACON, DIESTRESS",,04795,YES,E Room,E,,OUT,NO,,
FA203B,5820016312576,"TRANSMITTER, RADIO","BEACON, DIESTRESS",,04798,YES,E Room,E,,OUT,NO,,
FA205N,5820016092342,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",,502573,YES,,E,,,,,
FA205N,5820015879828,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",117,12687,YES,E Room,E,,OUT,YES,,
FA205N,5820015879828,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",117,12696,YES,E Room,E,,OUT,YES,,
FA205N,5820016092342,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,500734,YES,KIT,E,A,OUT,YES,,
FA205N,5820016092342,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,505946,YES,KIT,E,W,IN,YES,,
FA205N,5820016092342,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,501371,YES,KIT,E,Z,OUT,YES,,
FA205N,5820016092342,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,503973,YES,KIT,E,B1,OUT,YES,,
FA205N,5820016092342,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,517385,YES,E Room,E,B2,OUT,YES,,
FA205N,5820016092342,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,506176,YES,E Room,E,C1,OUT,YES,,
FA205N,5820016092342,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,506588,YES,KIT,E,C2,OUT,YES,,
FA205N,5820016092342,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,506730,YES,KIT,E,D2,OUT,YES,,
FA205N,5820016236066,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,507410,YES,E Room,E,F,OUT,YES,,
FA205N,5820016236066,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,510567,YES,KIT,E,E1,OUT,YES,,
FA205N,5820016236066,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,512235,YES,KIT,E,E2,OUT,YES,,
FA205N,5820016236066,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,515178,YES,E Room,E,D1,OUT,YES,,
FA205N,5820016236066,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",152,548514,YES,KIT,E,A,OUT,YES,,
FA205N,5820016236066,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",137,5239,YES,EMS,E,,OUT,YES,,
FA205N,5820016236066,"RECEIVER-TRANSMITTER, RADIO","RECEIVER-TRANSMITTER,RADIO",137,5489,YES,E Room,E,,IN,YES,,
,,,,,,,,,,,,,
FA9500,5895016296022,SATELLITE EQPMT/SYS,COMMUNICATION SYSTEM,SDN,4198,YES,B-TEAM,E,,OUT,NO,B-TEAM,
,,,,,,,,,,,,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
FA9509,589501T023556,"CASES, COMUNICATION EQUIPMENT","CASE, JUGGERNAUT SAMSUNG GALAXY S5",JUGGERBROKES,,YES,E Room,E,,IN,NO,,
,,,,,,,,,,,,,
FA950P,5895016299400,"RECEIVER, GPS","COMPUTER SYSTEM,SPECIAL PURPOSE",OSRVT LAPTOP,103577,YES,E Room,E,,IN,NO,,
FA950P,5895016299400,"RECEIVER, GPS","COMPUTER SYSTEM,SPECIAL PURPOSE",OSRVT LAPTOP,105156,YES,E Room,E,,IN,NO,,
,,,,,,,,,,,,,
FA953E,5895015546435,COMMUNICATION SYSTEM,"COMMUNICATION SET, SATELLITE",,0642,YES,E Room,E,,IN,NO,,
FA953E,5895016627959,"COMMUNICATION, SYSTEM",COMMUNICATION SYSTEM,,LTNM190538,YES,E Room,E,,IN,NO,,
,,,,,,,,,,,,,
FA957W,5895016517516,COMMUNICATION SUBSYSTEM,SATELLITE COMMUNICATION SUBSYSTEM,,TBG0028,YES,B-TEAM,E,,OUT,NO,B-TEAM,
,,,,,,,,,,,,,
FA95CP,5895015418895,SATELLITE COMMUNICATION SYSTEM,SATELLITE COMMUNICATION SYSTEM,IRIDIUM,300114040207180,YES,E Room,E,,OUT,NO,,
,,,,,,,,,,,,,
FB8513,5985015818710,ANTENNA ,ANTENNA ,Directional ant.,,YES,E Room,E,,OUT,NO,,
FB8513,5985015818710,ANTENNA ,ANTENNA ,Directional ant.,,YES,E Room,E,,OUT,NO,,
,,,,,,,,,,,,,
FD3053,613001C177913,POWER ADAPTER,POWER ADAPTER: 006-054 PROTONEX,,00002061,YES,E Room,E,,IN,NO,,
,,,,,,,,,,,,,
FD409W,614001C913980,"BATTERY, RECHARGABLE","BATTERY, RECHARGABLE MODEL BB XXX LION",,002569A,YES,E Room,E,,IN,NO,,
,,,,,,,,,,,,,
FF5005,6350016318363,DETECTION SURVEILLANCE EQUIPMENT,GROUND SENSOR AND AREA SURVEILLANCE SY,,RS7151,YES,C Room,C,,OUT,NO,,
FF5005,6350016414645,DETECTION SURVEILLANCE EQUIPMENT,GROUND SENSOR AND AREA SURVEILLANCE SY,,RR6122,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
FF500X,6350016436240,"MANAGEMENT SYSTEM,BIOMETRIC AND IDENTITY","MANAGEMENT SYSTEM,BIOMETRIC AND IDENTI",,BSID-A0672,YES,C Room,C,,IN,NO,,
FF500X,6350016775311,"MANAGEMENT SYSTEM,BIOMETRIC AND IDENTITY","MANAGEMENT SYSTEM,BIOMETRIC AND IDENTI",,EU1800380,YES,C Room,C,,OUT,NO,,
FF500X,6350016775348,"MANAGEMENT SYSTEM,BIOMETRIC AND IDENTITY","MANAGEMENT SYSTEM,BIOMETRIC AND IDENTI",,OU1800396,YES,C Room,C,,OUT,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
FG0500,6605011966971,"COMPASS, MAGNETIC, UNMOUNTED","COMPASS, MAGNETIC, UNMOUNTED",,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
FG2500,662501D053408,"ANEMOMETERS, WIND SPEED INDICATORS",RECORDING SET WEATHER DATA,"TAN, KESTREL",2487017,YES,Jump ruck,C,Jered,OUT,NO,,
FG2500,662501D053408,"ANEMOMETERS, WIND SPEED INDICATORS",RECORDING SET WEATHER DATA,"TAN, KESTREL",2487499,YES,C Room,C,,OUT,NO,,
,,,,,,,,,,,,,
FG4006,6640015109634,CENTRIFUGE LABORATORY,"CENTRIFUGE,LABORATORY",,823M50103026,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
FG5004,6650015109488,MICROSCOPE DIGITAL,"MICROSCOPE,DIGITAL",,30310829,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
FG5058,6650009333218,REFRACTOMETER,REFRACTOMETER,,04876-1109,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
FG6003,666001C920430,"TRACKER POCKET, WEATHER MONITORING","WEATHER TRACKER, 4500NV HORUS BALLISTICS",,,YES,C Room,C,,IN,NO,,
FG6003,666001D184859,"TRACKER POCKET, WEATHER MONITORING","KESTREL ELITE WEATHER METER W/ AB, BLACK",,TMP_0000261088,YES,C Room,C,,IN,NO,,
FG6003,666001D184859,"TRACKER POCKET, WEATHER MONITORING","KESTREL ELITE WEATHER METER W/ AB, BLACK",,TMP_0000261089,YES,C Room,C,,IN,NO,,
FG6003,666001D184859,"TRACKER POCKET, WEATHER MONITORING","KESTREL ELITE WEATHER METER W/ AB, BLACK",,TMP_0000261090,YES,C Room,C,,IN,NO,,
FG6003,666001D184859,"TRACKER POCKET, WEATHER MONITORING","KESTREL ELITE WEATHER METER W/ AB, BLACK",,TMP_0000261091,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
FH200G,6720016239734,DIGITAL CAMERA KIT,"CAMERA SYSTEM,RECONNAISSANCE",,0649,YES,C Room,F,,IN,NO,,
,,,,,,,,,,,,,
FH2087,6720016487772,"CAMERA SYSTEM, DIGITAL","CAMERA,RECONNAISSANCE SYSTEM",,FL1211,YES,C Room,F,,IN,NO,,
FH2087,6720016487772,"CAMERA SYSTEM, DIGITAL","CAMERA,RECONNAISSANCE SYSTEM",,FL1241,YES,C Room,F,,IN,NO,,
,,,,,,,,,,,,,
FH6048,676001Y025040,TRIPOD,"TRIPOD, TFCT-34 MK2, 3 SERIES",,,YES,C Room,C,,OUT,NO,,
FH6048,676001Y025040,TRIPOD,"TRIPOD, TFCT-34 MK2, 3 SERIES",,,YES,C Room,C,,OUT,NO,,
FH6048,676001Y025040,TRIPOD,"TRIPOD, TFCT-34 MK2, 3 SERIES",,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
FJ211E,7021016793258,"COMPUTER, DIGITAL","COMPUTER, DIGITAL",MODEL S410,RK603S2341,YES,E Room,E,,OUT,NO,,
FJ211E,7021016793258,"COMPUTER, DIGITAL","COMPUTER, DIGITAL",MODEL S410,RK603S2410,YES,E Room,E,,IN,NO,,
FJ211E,7021016793258,"COMPUTER, DIGITAL","COMPUTER, DIGITAL",MODEL S410,RK603S2441,YES,E Room,E,,IN,NO,,
,,,,,,,,,,,,,
FJ212G,702101C950684,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, DELL 7490",,4ZBQZQ2,YES,E Room,E,,OUT,NO,,
FJ212G,702101C950684,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, DELL 7490",,5DFCZQ2,YES,Safe,E,,OUT,NO,,
FJ212G,702101C950684,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, DELL 7490",,608QZQ2,YES,E Room,E,,OUT,NO,,
FJ212G,702101C950684,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, DELL 7490",,68DCZQ2,YES,C Room,E,,IN,NO,,
FJ212G,702101C950683,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, DELL 7490",,69TVZQ2,YES,Ops,E,,IN,NO,,
FJ212G,702101C950684,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, DELL 7490",,6Y8QZQ2,YES,Safe,E,,IN,NO,,
FJ212G,702101C950684,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, DELL 7490",,82BQZQ2,YES,Safe,E,,IN,NO,,
FJ212G,702101C950684,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, DELL 7490",,BFBQZQ2,YES,Paul,E,,IN,NO,2062,
,,,,,,,,,,,,,
FK900X,749001C922573,"SHREDDER, HIGH SECURITY","SHREDDER, HIGH SECURITY, 244/4PB SEM",,6324980,YES,Hall,C,,IN,NO,,
,,,,,,,,,,,,,
HA407N,424001C090175,FORCED ENTRY AND RESCUE TOOL,FORCED ENTRY AND RESCUE TOOL: HVY DOUBLE,,,YES,C Room,C,,OUT,NO,,
HA407N,424001C090175,FORCED ENTRY AND RESCUE TOOL,FORCED ENTRY AND RESCUE TOOL: HVY DOUBLE,,,YES,C Room,C,,OUT,NO,,
,,,,,,,,,,,,,
L02015,6210015376769,LIGHTING KT: MOTION DETECTOR (LKMD) AN/G,LIGHTING KIT MOTION,,111578,YES,C Room,C,,IN,NO,,
L02015,6210015376769,LIGHTING KT: MOTION DETECTOR (LKMD) AN/G,LIGHTING KIT MOTION,,111651,YES,C Room,C,,IN,NO,,
L02015,6210015376769,LIGHTING KT: MOTION DETECTOR (LKMD) AN/G,LIGHTING KIT MOTION,,111834,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K15C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K16C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K17C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K18C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K19C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K20C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K21C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K22C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K23C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K24C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K25C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K26C,YES,E Room,E,,IN,YES,,
M18029,5820016092302,MBITR: URBAN VERSION,RADIO SET,,D9K27C,YES,E Room,E,,IN,YES,,
,,,,,,,,,,,,,
M29999,6545015626036,MEDICAL EQUIPMENT SET SPECIAL FORCES: TA,MES SO TACTICAL-2008,,10295754,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
MC200M,512001C914968,BREACHING TOOL,TACTICAL BREACHING TOOL/CHARGE HOLDER,,,YES,C Room,C,,IN,NO,,
MC200M,512001C914968,BREACHING TOOL,TACTICAL BREACHING TOOL/CHARGE HOLDER,,,YES,C Room,C,,IN,NO,,
MC200M,512001C914968,BREACHING TOOL,TACTICAL BREACHING TOOL/CHARGE HOLDER,,,YES,C Room,C,,IN,NO,,
MC200M,512001C914968,BREACHING TOOL,TACTICAL BREACHING TOOL/CHARGE HOLDER,,,YES,C Room,C,,IN,NO,,
MC200M,512001C914968,BREACHING TOOL,TACTICAL BREACHING TOOL/CHARGE HOLDER,,,YES,C Room,C,,IN,NO,,
MC200M,512001C914968,BREACHING TOOL,TACTICAL BREACHING TOOL/CHARGE HOLDER,,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
MC2049,512001C101933,COLLAPSIBLE BREACHING TOOL,COLLAPSIBLE BREACHING TOOL: MIL HALLIGAN,,,YES,C Room,C,,OUT,NO,,
MC2049,512001C101933,COLLAPSIBLE BREACHING TOOL,COLLAPSIBLE BREACHING TOOL: MIL HALLIGAN,,,YES,C Room,C,,OUT,NO,,
MC2049,512001C101933,COLLAPSIBLE BREACHING TOOL,COLLAPSIBLE BREACHING TOOL: MIL HALLIGAN,,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
MC8012,518001C133355,WEAPON REPAIR/MAINTENANCE KIT,WEAPON REPAIR/MAINTENANCE KIT: 080-216-0,,,YES,C Room,B,,IN,NO,,
,,,,,,,,,,,,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,351881069220919,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,351881069268629,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,351881069272902,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,351881069273066,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,353682062054711,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,353682062077787,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,353682062080641,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,353682062086150,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,353682062095870,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,353682062097819,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,357536061831006,YES,E Room,E,,IN,NO,,
N05004,5895016548585,COMMUNICATION-IDENTIFICATION-NAVIGATIO,NETT WARRIOR SYSTEM,,357536061833382,YES,E Room,E,,IN,NO,,
,,,,,,,,,,,,,
N96248,5825015264783,NAVIGATION SET: SATELLITE SIGNALS AN/PSN,NA SE SA AN/PSN-13(A),Dagger,297034,YES,E Room,E,,OUT,YES,,
,,,,,,,,,,,,,
NA150Q,6515015264240,LARYNGOSCOPE SET FIBER OPTIC BATTERY OPE,LARYNGOSCOPE SET,,LAR134,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
NA15B2,6515016268691,CAPNOGRAPH KIT,CAPNOGRAPH KIT,EMMA,EM00260394,YES,D Room,D,,,,,
NA15B2,6515016268691,CAPNOGRAPH KIT,CAPNOGRAPH KIT,EMMA,EM00260267,YES,D Room,D,,,,,
,,,,,,,,,,,,,
NA1524,6515015571136,OXIMETER PULSE,"OXIMETER, PULSE",,501453014,YES,D Room,D,,IN,NO,,
NA1525,6515015571136,OXIMETER PULSE,"OXIMETER, PULSE",,501453028,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
NA1534,6515015790914,"STIMULATOR,NERVE,TRANSCUTANEOUS","STIMULATOR KIT,NERVE",,290090,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
NA153A,6515015003521,PORTABLE IV HEATER (BLOOD WARMER),BLOOD-FLUID WARMERSYSTEM,,2BLD131,YES,D Room,D,,OUT,NO,,
,,,,,,,,,,,,,
NA154A,6515016146561,SUCTION APPAR SURG,"SUCTION APPARATUS,OROPHARYNGEAL,TRACHE",,AH02761,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
NA155H,6515015239935,"THERMOMETER, CLINICAL, HUMAN","THERMOMETER KIT, CLINICAL, HUMAN",,11311302,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
NA159Q,6515015183892,INHALATION SYSTEM O,"INHALATION SYSTEM, OXYLATOR",,412BH5094,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
NA309Y,653001C104390,"STRETCHER, SKED","STRETCHER, SKED: HMD250 SKEDCO",,,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
P05003,5821016686762,OSRVT TRANSCEIVER:,"RECEIVER-TRANSMITTER,RADIO",,1577,YES,E Room,E,,IN,NO,,
P05003,5821016686762,OSRVT TRANSCEIVER:,"RECEIVER-TRANSMITTER,RADIO",,4513,YES,E Room,E,,IN,NO,,
,,,,,,,,,,,,,
R05007,5820015879864,"RADIO, AN/PRC-117GV3C","RADIO, AN/PRC-117GV3C",BAG,1014932674,YES,E Room,E,,OUT,YES,,
R05007,5820015879864,"RADIO, AN/PRC-117GV3C","RADIO, AN/PRC-117GV3C",BAG,1014932679,YES,E Room,E,,OUT,YES,,
,,,,,,,,,,,,,
R45766,5820016691163,"RECEIVER-TRANSMITTER, RADIO:RT-1694D(P)","RECEIVER-TRANSMITTER,RADIO",PRC160,005855,YES,E Room,E,,OUT,YES,,
S05039,6150016560447,SQUAD POWER MANAGER:,"CABLE ASSEMBLY SET,ELECTRICAL",SOLAR CONT.,00002065,YES,E Room,E,,OUT,NO,,
S05039,6150016560447,SQUAD POWER MANAGER:,"CABLE ASSEMBLY SET,ELECTRICAL",,00002053,YES,E Room,E,,OUT,NO,,
,,,,,,,,,,,,,
T81951,5821016577641,TERMINAL VIDEO REMOTE UAS:,"VIDEO TERMINAL,MULTIFUNCTIONAL REMOTE",OSRVT BOX,003590,YES,E Room,E,,IN,NO,,
T81951,5821016577641,TERMINAL VIDEO REMOTE UAS:,"VIDEO TERMINAL,MULTIFUNCTIONAL REMOTE",OSRVT BOX,003805,YES,E Room,E,,IN,NO,,
,,,,,,,,,,,,,
U39016,6530009262022,STERILIZER SURG INSTR DRESS: PRES EXTR H,STERILIZER EXTR HEAT,,B0011222,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
V05006,6515015711689,PORTABLE AUTOMATIC ENHANCED RESUSCITATOR,"VENTILATOR,VOLUME,PORTABLE",,1104117,YES,D Room,D,,IN,NO,,
,,,,,,,,,,,,,
WF4011,834001F900016,TENT ASSORTED TYPES,"ALCS 1P SE GORE, COYOTE",,,YES,C Room,C,,IN,NO,,
WF4011,834001F900016,TENT ASSORTED TYPES,"ALCS 1P SE GORE, COYOTE",,,YES,C Room,C,,IN,NO,,
WF4011,834001F900016,TENT ASSORTED TYPES,"ALCS 1P SE GORE, COYOTE",,,YES,C Room,C,,IN,NO,,
WF4011,834001F900016,TENT ASSORTED TYPES,"ALCS 1P SE GORE, COYOTE",,,YES,C Room,C,,IN,NO,,
WF4011,834001F900016,TENT ASSORTED TYPES,"ALCS 1P SE GORE, COYOTE",,,YES,C Room,C,,IN,NO,,
